source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
M.csv,2025-01-27 14:30:00,0,521.245,0.0,100.0,106.25,599.64,0.0,70.0,96.45,74.0,0.0,70.0,0.0,70.11500000000001,57.65,67.0,69.0,78.0,62.0,1.0,,,,,
W.csv,2025-01-27 16:00:00,6,441.4333333333333,0.0,4.333333333333333,63.126666666666665,449.2,0.0,68.49,15.986666666666666,74.0,0.0,70.0,0.0,68.71333333333332,0.0,67.0,69.0,68.0,68.0,,,,,,
V.csv,2025-01-27 16:00:00,6,151.85333333333332,0.0,54.5,89.16333333333334,152.56,0.0,70.0,100.0,74.0,0.0,70.0,0.0,68.53666666666668,0.0,67.0,69.0,68.0,68.0,544.3333333333334,,,,,
A.csv,2025-01-27 16:00:00,6,484.51666666666665,0.0,6.5,93.31,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.4,,84.0,69.0,78.0,68.0,,,,,,
MM.csv,2025-01-27 16:00:00,6,452.0266666666666,0.0,51.0,63.02666666666666,449.2,0.0,70.0,0.0,74.0,0.0,70.0,72.0,71.47333333333334,0.0,67.0,69.0,85.0,68.0,,,,,,
C.csv,2025-01-27 16:00:00,6,604.5866666666667,0.0,58.0,93.01666666666668,608.12,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.38,,67.0,69.0,68.0,68.0,0.0,,,,,
BB.csv,2025-01-27 16:00:00,6,1177.3933333333334,0.0,91.66666666666669,100.66333333333334,1175.27,0.0,70.0,96.84666666666668,74.0,0.0,70.0,72.0,69.97333333333333,,84.0,69.0,85.0,68.0,0.0,1199.29,1.0,-1.0,,
T.csv,2025-01-27 16:00:00,6,714.77,0.0,85.83333333333333,62.14333333333334,720.42,0.0,70.0,100.0,74.0,0.0,70.0,0.0,66.99666666666667,0.0,67.0,69.0,68.0,68.0,,,,,,
U.csv,2025-01-27 16:00:00,6,150.44,0.0,6.166666666666667,61.75333333333333,152.56,0.0,68.0,1.9666666666666668,74.0,0.0,70.0,0.0,69.64,0.0,67.0,69.0,68.0,68.0,751.3333333333334,,,,,
B.csv,2025-01-27 16:00:00,6,895.5799999999999,0.0,97.0,63.086666666666666,900.52,0.0,70.0,100.0,73.99,0.0,70.0,72.0,67.54,,66.97,68.99,68.0,68.0,510.3333333333333,,,,,
LL.csv,2025-01-27 16:00:00,6,114.42,81.27666666666667,40.833333333333336,62.84,116.54,0.0,70.0,0.0,70.0,0.0,70.0,70.0,70.74666666666667,0.0,67.0,69.0,75.0,55.0,,,,,,
