time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-29 06:00:00,492.28666666666663,2.1100000000000136,0.0,6.666666666666667,92.48,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.35666666666667,-2.760000000000005,,84.0,69.0,78.0,68.0,,
2025-01-29 06:15:00,480.28000000000003,8.46999999999997,0.0,8.5,92.88333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.43666666666667,-2.6299999999999955,,84.0,69.0,78.0,68.0,,
2025-01-29 06:30:00,477.4533333333334,-2.1200000000000045,0.0,8.333333333333334,93.22333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.66000000000001,-2.469999999999999,,84.0,69.0,78.0,68.0,,
2025-01-29 06:45:00,480.27666666666664,0.0,0.0,8.666666666666666,93.27666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.78333333333333,-2.319999999999993,,84.0,69.0,78.0,68.0,,
2025-01-29 07:00:00,486.6333333333334,2.1100000000000136,0.0,7.166666666666667,93.11,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.89,-2.200000000000003,,84.0,69.0,78.0,68.0,,
2025-01-29 07:15:00,473.92333333333335,4.230000000000018,0.0,8.166666666666666,93.05666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.99666666666667,-2.0900000000000034,,84.0,69.0,78.0,68.0,,
2025-01-29 07:30:00,482.3966666666667,0.0,0.0,8.833333333333334,93.11000000000001,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.06666666666666,-1.980000000000004,,84.0,69.0,78.0,68.0,,
2025-01-29 07:45:00,478.8666666666666,2.1100000000000136,0.0,7.333333333333333,93.05666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.20333333333333,-1.8900000000000006,,84.0,69.0,78.0,68.0,,
2025-01-29 08:00:00,467.56333333333333,6.349999999999966,0.0,8.333333333333334,93.23,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.28666666666668,-1.769999999999996,,84.0,69.0,78.0,68.0,,
2025-01-29 08:15:00,490.87000000000006,2.1100000000000136,0.0,8.333333333333334,93.02333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.29666666666667,-1.6800000000000068,,84.0,69.0,78.0,68.0,,
2025-01-29 08:30:00,473.92,4.230000000000018,0.0,8.666666666666666,93.18666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.39999999999999,-1.7099999999999937,,84.0,69.0,78.0,68.0,,
2025-01-29 08:45:00,483.80999999999995,4.230000000000018,0.0,8.166666666666666,93.10333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.41333333333334,-1.5499999999999972,,84.0,69.0,78.0,68.0,,
2025-01-29 09:00:00,490.1666666666667,16.94999999999999,0.0,7.833333333333333,92.99000000000001,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.34,-1.6800000000000068,,84.0,69.0,78.0,68.0,,
2025-01-29 09:15:00,480.28000000000003,-6.360000000000014,0.0,8.166666666666666,93.21999999999998,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.41333333333334,-1.6599999999999966,,84.0,69.0,78.0,68.0,,
2025-01-29 09:30:00,481.69,4.230000000000018,0.0,9.5,93.15000000000002,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.43666666666667,-1.5499999999999972,,84.0,69.0,78.0,68.0,,
2025-01-29 09:45:00,471.09666666666664,6.349999999999966,0.0,8.5,93.21,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.45,-1.5699999999999932,,84.0,69.0,78.0,68.0,,
2025-01-29 10:00:00,473.92,-6.360000000000014,0.0,9.0,93.06333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.47,-1.5300000000000011,,84.0,69.0,78.0,68.0,,
2025-01-29 10:15:00,477.45666666666665,2.1100000000000136,0.0,9.333333333333334,93.03666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.45666666666666,-1.5300000000000011,,84.0,69.0,78.0,68.0,,
2025-01-29 10:30:00,478.8666666666666,0.0,0.0,9.5,93.05,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.51333333333334,-1.5499999999999972,,84.0,69.0,78.0,68.0,,
2025-01-29 10:45:00,478.16,-6.360000000000014,0.0,9.833333333333334,93.14666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.62666666666667,-1.4200000000000017,,84.0,69.0,78.0,68.0,,
2025-01-29 11:00:00,483.1000000000001,-16.960000000000036,0.0,10.5,93.22333333333331,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.75,-1.2999999999999972,,84.0,69.0,78.0,68.0,,
2025-01-29 11:15:00,481.69000000000005,2.1100000000000136,0.0,11.0,93.29,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.91666666666667,-1.230000000000004,,84.0,69.0,78.0,68.0,,
2025-01-29 11:30:00,478.16,4.230000000000018,0.0,11.0,93.05333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.00333333333333,-1.0100000000000051,,84.0,69.0,78.0,68.0,,
